,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
0,5.1,3.5,1.4,0.2,setosa,-25.08277,4.430809
1,4.9,3.0,1.4,0.2,setosa,-27.789341,5.1979837
2,4.7,3.2,1.3,0.2,setosa,-27.538061,4.064567
3,4.6,3.1,1.5,0.2,setosa,-28.030144,4.4150395
4,5.0,3.6,1.4,0.2,setosa,-25.078432,4.5847526
5,5.4,3.9,1.7,0.4,setosa,-23.103449,5.188327
6,4.6,3.4,1.4,0.3,setosa,-27.29974,3.6942847
7,5.0,3.4,1.5,0.2,setosa,-25.793776,4.7723336
8,4.4,2.9,1.4,0.2,setosa,-28.770016,4.259675
9,4.9,3.1,1.5,0.1,setosa,-27.237701,5.0509562
10,5.4,3.7,1.5,0.2,setosa,-23.531416,4.46133
11,4.8,3.4,1.6,0.2,setosa,-26.43519,5.101489
12,4.8,3.0,1.4,0.1,setosa,-28.024273,4.9270844
13,4.3,3.0,1.1,0.1,setosa,-28.802546,3.631473
14,5.8,4.0,1.2,0.2,setosa,-22.227777,4.423752
15,5.7,4.4,1.5,0.4,setosa,-22.068544,4.996294
16,5.4,3.9,1.3,0.4,setosa,-22.941216,4.720589
17,5.1,3.5,1.4,0.3,setosa,-25.010473,4.7077794
18,5.7,3.8,1.7,0.3,setosa,-22.747461,4.250911
19,5.1,3.8,1.5,0.3,setosa,-23.985645,5.209732
20,5.4,3.4,1.7,0.2,setosa,-24.10182,3.7966597
21,5.1,3.7,1.5,0.4,setosa,-24.342562,5.227599
22,4.6,3.6,1.0,0.2,setosa,-26.985802,2.9145074
23,5.1,3.3,1.7,0.5,setosa,-25.500751,5.8687057
24,4.8,3.4,1.9,0.2,setosa,-26.423656,6.0229497
25,5.0,3.0,1.6,0.2,setosa,-27.387829,5.63566
26,5.0,3.4,1.6,0.4,setosa,-25.563404,5.4344907
27,5.2,3.5,1.5,0.2,setosa,-24.60757,4.4910545
28,5.2,3.4,1.4,0.2,setosa,-24.95711,4.110685
29,4.7,3.2,1.6,0.2,setosa,-27.344177,4.65933
30,4.8,3.1,1.6,0.2,setosa,-27.420563,5.1778283
31,5.4,3.4,1.5,0.4,setosa,-24.154877,3.9031508
32,5.2,4.1,1.5,0.1,setosa,-22.913525,5.490734
33,5.5,4.2,1.4,0.2,setosa,-22.382675,5.035842
34,4.9,3.1,1.5,0.2,setosa,-27.172316,5.0236125
35,5.0,3.2,1.2,0.2,setosa,-26.597404,4.0780134
36,5.5,3.5,1.3,0.2,setosa,-23.640203,3.7830276
37,4.9,3.6,1.4,0.1,setosa,-25.599047,3.9431853
38,4.4,3.0,1.3,0.2,setosa,-28.607447,3.9729052
39,5.1,3.4,1.5,0.2,setosa,-25.437792,4.740081
40,5.0,3.5,1.3,0.3,setosa,-25.511185,4.174798
41,4.5,2.3,1.3,0.3,setosa,-29.317368,4.7875395
42,4.4,3.2,1.3,0.2,setosa,-28.205853,3.59993
43,5.0,3.5,1.6,0.6,setosa,-25.072876,5.8598075
44,5.1,3.8,1.9,0.4,setosa,-23.840744,5.9986486
45,4.8,3.0,1.4,0.3,setosa,-28.00955,4.936737
46,5.1,3.8,1.6,0.2,setosa,-23.913458,5.309397
47,4.6,3.2,1.4,0.2,setosa,-27.789837,4.0635853
48,5.3,3.7,1.5,0.2,setosa,-23.799032,4.642049
49,5.0,3.3,1.4,0.2,setosa,-26.191528,4.5260572
50,7.0,3.2,4.7,1.4,versicolor,14.724294,-3.9378526
51,6.4,3.2,4.5,1.5,versicolor,15.317715,-2.3645272
52,6.9,3.1,4.9,1.5,versicolor,14.187254,-3.8980362
53,5.5,2.3,4.0,1.3,versicolor,18.967012,1.262959
54,6.5,2.8,4.6,1.5,versicolor,14.89872,-2.6346416
55,5.7,2.8,4.5,1.3,versicolor,17.467073,-0.43897933
56,6.3,3.3,4.7,1.6,versicolor,14.65056,-2.0836585
57,4.9,2.4,3.3,1.0,versicolor,20.098318,2.312035
58,6.6,2.9,4.6,1.3,versicolor,15.179131,-3.0184855
59,5.2,2.7,3.9,1.4,versicolor,19.444763,0.69337153
60,5.0,2.0,3.5,1.0,versicolor,20.088844,2.1190832
61,5.9,3.0,4.2,1.5,versicolor,16.96471,-0.26342785
62,6.0,2.2,4.0,1.0,versicolor,17.819273,2.0465162
63,6.1,2.9,4.7,1.4,versicolor,15.24007,-1.1334201
64,5.6,2.9,3.6,1.3,versicolor,19.352001,1.148696
65,6.7,3.1,4.4,1.4,versicolor,15.434041,-3.2331283
66,5.6,3.0,4.5,1.5,versicolor,17.559809,-0.7854996
67,5.8,2.7,4.1,1.0,versicolor,17.826126,1.1212857
68,6.2,2.2,4.5,1.5,versicolor,14.862504,0.59938896
69,5.6,2.5,3.9,1.1,versicolor,18.610306,1.5169623
70,5.9,3.2,4.8,1.8,versicolor,13.878931,-1.2817543
71,6.1,2.8,4.0,1.3,versicolor,17.055689,0.689528
72,6.3,2.5,4.9,1.5,versicolor,13.674117,-0.57264453
73,6.1,2.8,4.7,1.2,versicolor,15.530078,-0.8852089
74,6.4,2.9,4.3,1.3,versicolor,16.05568,-2.1181397
75,6.6,3.0,4.4,1.4,versicolor,15.545464,-2.9014854
76,6.8,2.8,4.8,1.4,versicolor,14.456445,-3.523605
77,6.7,3.0,5.0,1.7,versicolor,13.211818,-3.7272928
78,6.0,2.9,4.5,1.5,versicolor,15.982857,-0.8986783
79,5.7,2.6,3.5,1.0,versicolor,18.90703,2.1707551
80,5.5,2.4,3.8,1.1,versicolor,19.00232,1.7128694
81,5.5,2.4,3.7,1.0,versicolor,19.126654,1.9354523
82,5.8,2.7,3.9,1.2,versicolor,18.123636,1.2081587
83,6.0,2.7,5.1,1.6,versicolor,12.562139,-1.2249027
84,5.4,3.0,4.5,1.5,versicolor,18.097143,-0.81339544
85,6.0,3.4,4.5,1.6,versicolor,15.027659,-1.5069712
86,6.7,3.1,4.7,1.5,versicolor,14.688742,-3.3997734
87,6.3,2.3,4.4,1.3,versicolor,15.179668,0.6045315
88,5.6,3.0,4.1,1.3,versicolor,18.091852,0.13593446
89,5.5,2.5,4.0,1.3,versicolor,18.849382,0.9580904
90,5.5,2.6,4.4,1.2,versicolor,18.60837,0.026324442
91,6.1,3.0,4.6,1.4,versicolor,15.563096,-1.2806519
92,5.8,2.6,4.0,1.2,versicolor,18.07036,1.1930537
93,5.0,2.3,3.3,1.0,versicolor,20.032885,2.3052344
94,5.6,2.7,4.2,1.3,versicolor,18.35252,0.37283474
95,5.7,3.0,4.2,1.2,versicolor,17.698824,0.12250846
96,5.7,2.9,4.2,1.3,versicolor,17.758415,0.13314666
97,6.2,2.9,4.3,1.3,versicolor,16.341084,-1.2383738
98,5.1,2.5,3.0,1.1,versicolor,20.093592,2.4865873
99,5.7,2.8,4.1,1.3,versicolor,17.999239,0.53178865
100,6.3,3.3,6.0,2.5,virginica,9.566188,-6.086679
101,5.8,2.7,5.1,1.9,virginica,12.139983,-0.6857225
102,7.1,3.0,5.9,2.1,virginica,8.153952,-4.9035287
103,6.3,2.9,5.6,1.8,virginica,10.283519,-3.1728833
104,6.5,3.0,5.8,2.2,virginica,9.337284,-4.4236875
105,7.6,3.0,6.6,2.1,virginica,6.8000064,-5.4253883
106,4.9,2.5,4.5,1.7,virginica,19.452063,-0.6115541
107,7.3,2.9,6.3,1.8,virginica,7.1883574,-4.8568635
108,6.7,2.5,5.8,1.8,virginica,8.96878,-3.371464
109,7.2,3.6,6.1,2.5,virginica,8.000093,-5.9777565
110,6.5,3.2,5.1,2.0,virginica,11.372048,-4.242158
111,6.4,2.7,5.3,1.9,virginica,11.104338,-2.9819226
112,6.8,3.0,5.5,2.1,virginica,9.680131,-4.5387974
113,5.7,2.5,5.0,2.0,virginica,12.054736,-0.26491165
114,5.8,2.8,5.1,2.4,virginica,11.415678,-0.46998563
115,6.4,3.2,5.3,2.3,virginica,10.614047,-5.0137005
116,6.5,3.0,5.5,1.8,virginica,10.374422,-3.586025
117,7.7,3.8,6.7,2.2,virginica,6.979085,-6.162243
118,7.7,2.6,6.9,2.3,virginica,6.409466,-5.324084
119,6.0,2.2,5.0,1.5,virginica,13.420758,0.17386684
120,6.9,3.2,5.7,2.3,virginica,8.962602,-5.1850414
121,5.6,2.8,4.9,2.0,virginica,12.188405,-0.23418158
122,7.7,2.8,6.7,2.0,virginica,6.6075063,-5.3070717
